draw_no,draw_date,winning_number,digit1,digit2,digit3,straight_payout,box_payout,set_straight_payout,set_box_payout,mini_payout
1,1994-10-07,191,1,9,1,119800,39900,79800,19900,11900
2,1994-10-14,988,9,8,8,333500,111100,222300,55500,33300
3,1994-10-21,194,1,9,4,71700,11900,41800,5900,7100
4,1994-10-28,105,1,0,5,57200,9500,33300,4700,5700
5,1994-11-04,592,5,9,2,113400,18900,66100,9400,11300
6,1994-11-11,792,7,9,2,102600,17100,59800,8500,10200
7,1994-11-18,708,7,0,8,149100,24800,86900,12400,14900
8,1994-11-25,234,2,3,4,58200,9700,33900,4800,5800
9,1994-12-02,243,2,4,3,83600,13900,48700,6900,8300
10,1994-12-09,340,3,4,0,154600,25700,90100,12800,15400
11,1994-12-16,326,3,2,6,47500,7900,27700,3900,4700
12,1994-12-23,247,2,4,7,45800,7600,26700,3800,4500
13,1994-12-30,229,2,2,9,112700,37500,75100,18700,11200
14,1995-01-06,743,7,4,3,91400,15200,53300,7600,9100
15,1995-01-10,019,0,1,9,62000,10300,36100,5100,6200
16,1995-01-13,179,1,7,9,78900,13100,46000,6500,7800
17,1995-01-17,475,4,7,5,110900,18400,64600,9200,11000
18,1995-01-20,291,2,9,1,63400,10500,36900,5200,6300
19,1995-01-24,852,8,5,2,49300,8200,28700,4100,4900
20,1995-01-27,502,5,0,2,78800,13100,45900,6500,7800
21,1995-01-31,558,5,5,8,250100,83300,166700,41600,25000
22,1995-02-03,951,9,5,1,88000,14600,51300,7300,8800
23,1995-02-07,912,9,1,2,61900,10300,36100,5100,6100
24,1995-02-10,039,0,3,9,97600,16200,56900,8100,9700
25,1995-02-14,458,4,5,8,110700,18400,64500,9200,11000
26,1995-02-17,984,9,8,4,190100,31600,110800,15800,19000
27,1995-02-21,917,9,1,7,69500,11500,40500,5700,6900
28,1995-02-24,789,7,8,9,90300,15000,52600,7500,9000
29,1995-02-28,589,5,8,9,91500,15200,53300,7600,9100
30,1995-03-03,725,7,2,5,48300,8000,28100,4000,4800
31,1995-03-07,073,0,7,3,94600,15700,55100,7800,9400
32,1995-03-10,547,5,4,7,96000,16000,56000,8000,9600
33,1995-03-14,063,0,6,3,98700,16400,57500,8200,9800
34,1995-03-17,634,6,3,4,84500,14000,49200,7000,8400
35,1995-03-21,333,3,3,3,65500,0,0,0,6500
36,1995-03-24,405,4,0,5,97600,16200,56900,8100,9700
37,1995-03-28,168,1,6,8,86400,14400,50400,7200,8600
38,1995-03-31,389,3,8,9,103700,17200,60400,8600,10300
39,1995-04-04,587,5,8,7,116100,19300,67700,9600,11600
40,1995-04-07,304,3,0,4,102400,17000,59700,8500,10200
41,1995-04-11,048,0,4,8,82800,13800,48300,6900,8200
42,1995-04-14,228,2,2,8,69700,23200,46400,11600,6900
43,1995-04-18,922,9,2,2,111600,37200,74400,18600,11100
44,1995-04-21,697,6,9,7,199500,33200,116300,16600,19900
45,1995-04-25,970,9,7,0,186600,31100,108800,15500,18600
46,1995-04-28,298,2,9,8,73700,12200,42900,6100,7300
47,1995-05-02,989,9,8,9,110400,36800,73600,18400,11000
48,1995-05-05,202,2,0,2,137400,45800,91600,22900,13700
49,1995-05-09,476,4,7,6,118400,19700,69000,9800,11800
50,1995-05-12,042,0,4,2,95800,15900,55800,7900,9500
51,1995-05-16,802,8,0,2,86500,14400,50400,7200,8600
52,1995-05-19,717,7,1,7,106600,35500,71000,17700,10600
53,1995-05-23,889,8,8,9,120000,40000,80000,20000,12000
54,1995-05-26,226,2,2,6,61000,20300,40600,10100,6100
55,1995-05-30,728,7,2,8,66500,11000,38700,5500,6600
56,1995-06-02,929,9,2,9,70900,23600,47200,11800,7000
57,1995-06-06,836,8,3,6,105600,17600,61600,8800,10500
58,1995-06-09,383,3,8,3,131200,43700,87400,21800,13100
59,1995-06-13,410,4,1,0,81000,13500,47200,6700,8100
60,1995-06-16,980,9,8,0,109600,18200,63900,9100,10900
61,1995-06-20,542,5,4,2,99700,16600,58100,8300,9900
62,1995-06-23,725,7,2,5,57300,9500,33400,4700,5700
63,1995-06-27,251,2,5,1,68800,11400,40100,5700,6800
64,1995-06-30,260,2,6,0,122700,20400,71500,10200,12200
65,1995-07-04,588,5,8,8,149400,49800,99600,24900,14900
66,1995-07-07,512,5,1,2,61600,10200,35900,5100,6100
67,1995-07-11,512,5,1,2,48900,8100,28500,4000,4800
68,1995-07-14,750,7,5,0,144400,24000,84200,12000,14400
69,1995-07-18,902,9,0,2,69900,11600,40700,5800,6900
70,1995-07-21,963,9,6,3,97100,16100,56600,8000,9700
71,1995-07-25,661,6,6,1,145000,48300,96600,24100,14500
72,1995-07-28,879,8,7,9,120200,20000,70100,10000,12000
73,1995-08-01,452,4,5,2,89500,14900,52200,7400,8900
74,1995-08-04,174,1,7,4,78900,13100,46000,6500,7800
75,1995-08-08,283,2,8,3,86400,14400,50400,7200,8600
76,1995-08-11,238,2,3,8,55600,9200,32400,4600,5500
77,1995-08-15,972,9,7,2,78000,13000,45500,6500,7800
78,1995-08-18,241,2,4,1,77300,12800,45000,6400,7700
79,1995-08-22,310,3,1,0,67300,11200,39200,5600,6700
80,1995-08-25,882,8,8,2,85700,28500,57100,14200,8500
81,1995-08-29,269,2,6,9,83100,13800,48400,6900,8300
82,1995-09-01,144,1,4,4,161600,53800,107700,26900,16100
83,1995-09-05,174,1,7,4,65900,10900,38400,5400,6500
84,1995-09-08,882,8,8,2,81600,27200,54400,13600,8100
85,1995-09-12,307,3,0,7,92600,15400,54000,7700,9200
86,1995-09-15,864,8,6,4,123300,20500,71900,10200,12300
87,1995-09-19,370,3,7,0,108300,18000,63100,9000,10800
88,1995-09-22,739,7,3,9,139300,23200,81200,11600,13900
89,1995-09-26,697,6,9,7,147900,24600,86200,12300,14700
90,1995-09-29,689,6,8,9,69400,11500,40400,5700,6900
91,1995-10-03,168,1,6,8,87300,14500,50900,7200,8700
92,1995-10-06,957,9,5,7,121800,20300,71000,10100,12100
93,1995-10-10,910,9,1,0,63800,10600,37200,5300,6300
94,1995-10-13,933,9,3,3,196400,65400,130900,32700,19600
95,1995-10-17,306,3,0,6,85100,14100,49600,7000,8500
96,1995-10-20,944,9,4,4,201900,67300,134600,33600,20100
