回号,抽せん日,当せん番号,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
第0001回,1994/10/07,1149,1,1,4,9,942600.0,78500.0,510500.0,39200.0
第0002回,1994/10/14,7921,7,9,2,1,923700.0,38400.0,481000.0,19200.0
第0003回,1994/10/21,97,0,0,9,7,1516600.0,126300.0,821400.0,63100.0
第0004回,1994/10/28,171,0,1,7,1,579400.0,48200.0,313800.0,24100.0
第0005回,1994/11/04,265,0,2,6,5,1222900.0,50900.0,636900.0,25400.0
第0006回,1994/11/11,5482,5,4,8,2,1300500.0,54100.0,677300.0,27000.0
第0007回,1994/11/18,3950,3,9,5,0,1041700.0,43400.0,542500.0,21700.0
第0008回,1994/11/25,7507,7,5,0,7,2717700.0,226400.0,1472000.0,113200.0
第0009回,1994/12/02,2664,2,6,6,4,2293800.0,191100.0,1242400.0,95500.0
第0010回,1994/12/09,2436,2,4,3,6,423300.0,17600.0,220400.0,8800.0
第0011回,1994/12/16,254,0,2,5,4,692400.0,28800.0,360600.0,14400.0
第0012回,1994/12/23,9722,9,7,2,2,1622600.0,135200.0,878900.0,67600.0
第0013回,1994/12/30,4673,4,6,7,3,752100.0,31300.0,391700.0,15600.0
第0014回,1995/01/06,1409,1,4,0,9,827700.0,34400.0,431000.0,17200.0
第0015回,1995/01/10,6419,6,4,1,9,759900.0,31600.0,395700.0,15800.0
第0016回,1995/01/13,524,0,5,2,4,360800.0,15000.0,187900.0,7500.0
第0017回,1995/01/17,8697,8,6,9,7,1538000.0,64000.0,801000.0,32000.0
第0018回,1995/01/20,3062,3,0,6,2,709000.0,29500.0,369200.0,14700.0
第0019回,1995/01/24,1013,1,0,1,3,156600.0,13000.0,84800.0,6500.0
第0020回,1995/01/27,2264,2,2,6,4,1053700.0,87800.0,570700.0,43900.0
第0021回,1995/01/31,3825,3,8,2,5,424200.0,17600.0,220900.0,8800.0
第0022回,1995/02/03,7059,7,0,5,9,1260900.0,52500.0,656700.0,26200.0
第0023回,1995/02/07,283,0,2,8,3,949400.0,39500.0,494400.0,19700.0
第0024回,1995/02/10,2321,2,3,2,1,481200.0,40100.0,260600.0,20000.0
第0025回,1995/02/14,4556,4,5,5,6,1319900.0,109900.0,714900.0,54900.0
第0026回,1995/02/17,3360,3,3,6,0,1261900.0,105100.0,683500.0,52500.0
第0027回,1995/02/21,4908,4,9,0,8,1295000.0,53900.0,674400.0,26900.0
第0028回,1995/02/24,3466,3,4,6,6,1413500.0,117700.0,765600.0,58800.0
第0029回,1995/02/28,2061,2,0,6,1,655000.0,27200.0,341100.0,13600.0
第0030回,1995/03/03,7566,7,5,6,6,1728100.0,144000.0,936000.0,72000.0
第0031回,1995/03/07,4830,4,8,3,0,1117500.0,46500.0,582000.0,23200.0
第0032回,1995/03/10,4575,4,5,7,5,1243300.0,103600.0,673400.0,51800.0
第0033回,1995/03/14,5819,5,8,1,9,1106800.0,46100.0,576400.0,23000.0
第0034回,1995/03/17,7521,7,5,2,1,564000.0,23500.0,293700.0,11700.0
第0035回,1995/03/21,4703,4,7,0,3,857600.0,35700.0,446600.0,17800.0
第0036回,1995/03/24,9776,9,7,7,6,2282600.0,190200.0,1236400.0,95100.0
第0037回,1995/03/28,6941,6,9,4,1,955900.0,39800.0,497800.0,19900.0
第0038回,1995/03/31,8634,8,6,3,4,744200.0,31000.0,387600.0,15500.0
第0039回,1995/04/04,5560,5,5,6,0,2027100.0,168900.0,1098000.0,84400.0
第0040回,1995/04/07,5584,5,5,8,4,1618000.0,134800.0,876400.0,67400.0
第0041回,1995/04/11,228,0,2,2,8,424500.0,35300.0,229900.0,17600.0
第0042回,1995/04/14,9875,9,8,7,5,1627900.0,67800.0,847800.0,33900.0
第0043回,1995/04/18,5031,5,0,3,1,725500.0,30200.0,377800.0,15100.0
第0044回,1995/04/21,4742,4,7,4,2,1269600.0,105800.0,687700.0,52900.0
第0045回,1995/04/25,5543,5,5,4,3,861400.0,71700.0,466500.0,35800.0
第0046回,1995/04/28,9476,9,4,7,6,1390900.0,57900.0,724400.0,28900.0
第0047回,1995/05/02,9125,9,1,2,5,849200.0,35300.0,442200.0,17600.0
第0048回,1995/05/05,5074,5,0,7,4,902500.0,37600.0,470000.0,18800.0
第0049回,1995/05/09,6910,6,9,1,0,1118800.0,46600.0,582700.0,23300.0
第0050回,1995/05/12,21,0,0,2,1,795700.0,66300.0,431000.0,33100.0
第0051回,1995/05/16,7598,7,5,9,8,1253800.0,52200.0,653000.0,26100.0
第0052回,1995/05/19,5053,5,0,5,3,1179500.0,98200.0,638800.0,49100.0
第0053回,1995/05/23,9040,9,0,4,0,1743200.0,145200.0,944200.0,72600.0
第0054回,1995/05/26,3895,3,8,9,5,928500.0,38600.0,483500.0,19300.0
第0055回,1995/05/30,6780,6,7,8,0,1536200.0,64000.0,800100.0,32000.0
第0056回,1995/06/02,9981,9,9,8,1,617300.0,51400.0,334300.0,25700.0
第0057回,1995/06/06,1398,1,3,9,8,1091800.0,45400.0,568600.0,22700.0
第0058回,1995/06/09,3042,3,0,4,2,948100.0,39500.0,493800.0,19700.0
第0059回,1995/06/13,8885,8,8,8,5,1034100.0,258500.0,646300.0,129200.0
第0060回,1995/06/16,6373,6,3,7,3,1656600.0,138000.0,897300.0,69000.0
第0061回,1995/06/20,7882,7,8,8,2,1741500.0,145100.0,943300.0,72500.0
第0062回,1995/06/23,5608,5,6,0,8,1007900.0,41900.0,524900.0,20900.0
第0063回,1995/06/27,9123,9,1,2,3,915300.0,38100.0,476700.0,19000.0
第0064回,1995/06/30,8844,8,8,4,4,1398000.0,233000.0,815500.0,116500.0
第0065回,1995/07/04,9819,9,8,1,9,1377700.0,114800.0,746200.0,57400.0
第0066回,1995/07/07,2098,2,0,9,8,719200.0,29900.0,374500.0,14900.0
第0067回,1995/07/11,4881,4,8,8,1,1236500.0,103000.0,669700.0,51500.0
第0068回,1995/07/14,4214,4,2,1,4,1033800.0,86100.0,559900.0,43000.0
第0069回,1995/07/18,2792,2,7,9,2,1255800.0,104600.0,680200.0,52300.0
第0070回,1995/07/21,5094,5,0,9,4,1108200.0,46100.0,577100.0,23000.0
第0071回,1995/07/25,948,0,9,4,8,947000.0,39400.0,493200.0,19700.0
第0072回,1995/07/28,84,0,0,8,4,1043300.0,86900.0,565100.0,43400.0
第0073回,1995/08/01,2341,2,3,4,1,648500.0,27000.0,337700.0,13500.0
第0074回,1995/08/04,3011,3,0,1,1,463200.0,38600.0,250900.0,19300.0
第0075回,1995/08/08,2332,2,3,3,2,661800.0,110300.0,386000.0,55100.0
第0076回,1995/08/11,5531,5,5,3,1,607700.0,50600.0,329100.0,25300.0
第0077回,1995/08/15,6406,6,4,0,6,1996400.0,166300.0,1081300.0,83100.0
第0078回,1995/08/18,6536,6,5,3,6,1446800.0,120500.0,783600.0,60200.0
第0079回,1995/08/22,1742,1,7,4,2,972200.0,40500.0,506300.0,20200.0
第0080回,1995/08/25,437,0,4,3,7,1282400.0,53400.0,667900.0,26700.0
第0081回,1995/08/29,3503,3,5,0,3,989600.0,82400.0,536000.0,41200.0
第0082回,1995/09/01,1770,1,7,7,0,1365900.0,113800.0,739800.0,56900.0
第0083回,1995/09/05,9047,9,0,4,7,952900.0,39700.0,496300.0,19800.0
第0084回,1995/09/08,6580,6,5,8,0,1260600.0,52500.0,656500.0,26200.0
第0085回,1995/09/12,2624,2,6,2,4,852000.0,71000.0,461500.0,35500.0
第0086回,1995/09/15,684,0,6,8,4,1278100.0,53200.0,665600.0,26600.0
第0087回,1995/09/19,7676,7,6,7,6,1809400.0,301500.0,1055400.0,150700.0
第0088回,1995/09/22,2562,2,5,6,2,898300.0,74800.0,486500.0,37400.0
第0089回,1995/09/26,1614,1,6,1,4,924000.0,77000.0,500500.0,38500.0
第0090回,1995/09/29,7696,7,6,9,6,1485800.0,123800.0,804800.0,61900.0
第0091回,1995/10/03,330,0,3,3,0,621400.0,103500.0,362400.0,51700.0
第0092回,1995/10/06,8721,8,7,2,1,1258400.0,52400.0,655400.0,26200.0
第0093回,1995/10/10,9056,9,0,5,6,1092500.0,45500.0,569000.0,22700.0
第0094回,1995/10/13,8526,8,5,2,6,950100.0,39500.0,494800.0,19700.0
第0095回,1995/10/17,6282,6,2,8,2,892400.0,74300.0,483300.0,37100.0
第0096回,1995/10/20,6992,6,9,9,2,1518300.0,126500.0,822400.0,63200.0
第0097回,1995/10/24,2866,2,8,6,6,792600.0,66000.0,429300.0,33000.0
第0098回,1995/10/27,4943,4,9,4,3,1551800.0,129300.0,840500.0,64600.0
第0099回,1995/10/31,2072,2,0,7,2,996000.0,83000.0,539500.0,41500.0
第0100回,1995/11/03,5614,5,6,1,4,944100.0,39300.0,491700.0,19600.0
第0101回,1995/11/07,1471,1,4,7,1,601900.0,50100.0,326000.0,25000.0
第0102回,1995/11/10,4036,4,0,3,6,1179500.0,49100.0,614300.0,24500.0
第0103回,1995/11/14,8050,8,0,5,0,1606000.0,133800.0,869900.0,66900.0
第0104回,1995/11/17,2958,2,9,5,8,1034600.0,43100.0,538800.0,21500.0
第0105回,1995/11/21,6204,6,2,0,4,568700.0,23600.0,296100.0,11800.0
第0106回,1995/11/24,9063,9,0,6,3,870400.0,36200.0,453300.0,18100.0
第0107回,1995/11/28,539,0,5,3,9,1152700.0,48000.0,600300.0,24000.0
第0108回,1995/12/01,9852,9,8,5,2,963700.0,40100.0,501900.0,20000.0
第0109回,1995/12/05,3593,3,5,9,3,1075100.0,89500.0,582300.0,44700.0
第0110回,1995/12/08,1697,1,6,9,7,1416100.0,59000.0,737500.0,29500.0
第0111回,1995/12/12,8011,8,0,1,1,877600.0,73100.0,475300.0,36500.0
第0112回,1995/12/15,4191,4,1,9,1,734000.0,61100.0,397500.0,30500.0
第0113回,1995/12/19,9163,9,1,6,3,778000.0,32400.0,405200.0,16200.0
第0114回,1995/12/22,3943,3,9,4,3,1009300.0,84100.0,546700.0,42000.0
第0115回,1995/12/26,4101,4,1,0,1,658200.0,54800.0,356500.0,27400.0
第0116回,1995/12/29,7410,7,4,1,0,560300.0,23300.0,291800.0,11600.0
第0117回,1996/01/05,2689,2,6,8,9,834700.0,34700.0,434700.0,17300.0
第0118回,1996/01/09,7435,7,4,3,5,1255100.0,52200.0,653600.0,26100.0
第0119回,1996/01/12,3010,3,0,1,0,795500.0,66200.0,430800.0,33100.0
第0120回,1996/01/16,3583,3,5,8,3,841100.0,70000.0,455500.0,35000.0
第0121回,1996/01/19,2645,2,6,4,5,714600.0,29700.0,372100.0,14800.0
第0122回,1996/01/23,8578,8,5,7,8,1711800.0,142600.0,927200.0,71300.0
第0123回,1996/01/26,1165,1,1,6,5,1223100.0,101900.0,662500.0,50900.0
第0124回,1996/01/30,942,0,9,4,2,987400.0,41100.0,514200.0,20500.0
第0125回,1996/02/02,5762,5,7,6,2,1002300.0,41700.0,522000.0,20800.0
第0126回,1996/02/06,6577,6,5,7,7,1357500.0,113100.0,735300.0,56500.0
第0127回,1996/02/09,9054,9,0,5,4,711100.0,29600.0,370300.0,14800.0
第0128回,1996/02/13,3315,3,3,1,5,826200.0,68800.0,447500.0,34400.0
第0129回,1996/02/16,9846,9,8,4,6,1153000.0,48000.0,600500.0,24000.0
第0130回,1996/02/20,4092,4,0,9,2,700900.0,29200.0,365000.0,14600.0
第0131回,1996/02/23,8831,8,8,3,1,1018300.0,84800.0,551500.0,42400.0
第0132回,1996/02/27,5566,5,5,6,6,690100.0,115000.0,402500.0,57500.0
第0133回,1996/03/01,5660,5,6,6,0,1279100.0,106500.0,692800.0,53200.0
第0134回,1996/03/05,6890,6,8,9,0,1094200.0,45500.0,569800.0,22700.0
第0135回,1996/03/08,3409,3,4,0,9,893100.0,37200.0,465100.0,18600.0
第0136回,1996/03/12,4023,4,0,2,3,777100.0,32300.0,404700.0,16100.0
第0137回,1996/03/15,9017,9,0,1,7,872300.0,36300.0,454300.0,18100.0
第0138回,1996/03/19,4073,4,0,7,3,719800.0,29900.0,374800.0,14900.0
第0139回,1996/03/22,7871,7,8,7,1,1453200.0,121100.0,787100.0,60500.0
第0140回,1996/03/26,1099,1,0,9,9,1047400.0,87200.0,567300.0,43600.0
第0141回,1996/03/29,2139,2,1,3,9,893400.0,37200.0,465300.0,18600.0
第0142回,1996/04/02,2516,2,5,1,6,705800.0,29400.0,367600.0,14700.0
第0143回,1996/04/05,3752,3,7,5,2,667200.0,27800.0,347500.0,13900.0
第0144回,1996/04/09,4681,4,6,8,1,709200.0,29500.0,369300.0,14700.0
第0145回,1996/04/12,8567,8,5,6,7,1062000.0,44200.0,553100.0,22100.0
第0146回,1996/04/16,2115,2,1,1,5,741500.0,61700.0,401600.0,30800.0
第0147回,1996/04/19,2209,2,2,0,9,839000.0,69900.0,454400.0,34900.0
第0148回,1996/04/23,6901,6,9,0,1,820500.0,34100.0,427300.0,17000.0
第0149回,1996/04/26,7707,7,7,0,7,2075300.0,518800.0,1297000.0,259400.0
第0150回,1996/04/30,5825,5,8,2,5,916400.0,76300.0,496300.0,38100.0
第0151回,1996/05/03,3056,3,0,5,6,648700.0,27000.0,337800.0,13500.0
第0152回,1996/05/07,225,0,2,2,5,509400.0,42400.0,275900.0,21200.0
第0153回,1996/05/10,5468,5,4,6,8,1097500.0,45700.0,571600.0,22800.0
第0154回,1996/05/14,1470,1,4,7,0,676400.0,28100.0,352200.0,14000.0
第0155回,1996/05/17,171,0,1,7,1,844600.0,70300.0,457400.0,35100.0
第0156回,1996/05/21,8957,8,9,5,7,1350700.0,56200.0,703400.0,28100.0
第0157回,1996/05/24,9254,9,2,5,4,1127500.0,46900.0,587200.0,23400.0
第0158回,1996/05/28,2579,2,5,7,9,578600.0,24100.0,301300.0,12000.0
第0159回,1996/05/31,4034,4,0,3,4,825700.0,68800.0,447200.0,34400.0
第0160回,1996/06/04,5741,5,7,4,1,937900.0,39000.0,488400.0,19500.0
第0161回,1996/06/07,6627,6,6,2,7,957400.0,79700.0,518500.0,39800.0
第0162回,1996/06/11,3588,3,5,8,8,820100.0,68300.0,444200.0,34100.0
第0163回,1996/06/14,2207,2,2,0,7,816300.0,68000.0,442100.0,34000.0
第0164回,1996/06/18,5492,5,4,9,2,1015500.0,42300.0,528900.0,21100.0
第0165回,1996/06/21,8090,8,0,9,0,1242800.0,103500.0,673100.0,51700.0
第0166回,1996/06/25,7,0,0,0,7,1732100.0,433000.0,1082500.0,216500.0
第0167回,1996/06/28,8092,8,0,9,2,760000.0,31600.0,395800.0,15800.0
第0168回,1996/07/02,5739,5,7,3,9,988200.0,41100.0,514600.0,20500.0
第0169回,1996/07/05,4946,4,9,4,6,1033000.0,86000.0,559500.0,43000.0
第0170回,1996/07/09,8695,8,6,9,5,1324000.0,55100.0,689500.0,27500.0
第0171回,1996/07/12,4820,4,8,2,0,1109300.0,46200.0,577700.0,23100.0
第0172回,1996/07/16,744,0,7,4,4,1576900.0,131400.0,854100.0,65700.0
第0173回,1996/07/19,6042,6,0,4,2,845500.0,35200.0,440300.0,17600.0
第0174回,1996/07/23,4544,4,5,4,4,1613700.0,403400.0,1008500.0,201700.0
第0175回,1996/07/26,8670,8,6,7,0,1553500.0,64700.0,809100.0,32300.0
第0176回,1996/07/30,5994,5,9,9,4,1714700.0,142800.0,928700.0,71400.0
第0177回,1996/08/02,978,0,9,7,8,1103400.0,45900.0,574600.0,22900.0
第0178回,1996/08/06,8734,8,7,3,4,780100.0,32500.0,406300.0,16200.0
第0179回,1996/08/09,3568,3,5,6,8,630700.0,26200.0,328400.0,13100.0
第0180回,1996/08/13,9989,9,9,8,9,733200.0,183300.0,458200.0,91600.0
第0181回,1996/08/16,8132,8,1,3,2,1445400.0,60200.0,752800.0,30100.0
第0182回,1996/08/20,2057,2,0,5,7,521200.0,21700.0,271400.0,10800.0
第0183回,1996/08/23,6416,6,4,1,6,1134100.0,94500.0,614300.0,47200.0
第0184回,1996/08/27,5570,5,5,7,0,743900.0,61900.0,402900.0,30900.0
第0185回,1996/08/30,7284,7,2,8,4,1122000.0,46700.0,584300.0,23300.0
第0186回,1996/09/03,5010,5,0,1,0,840400.0,70000.0,455200.0,35000.0
第0187回,1996/09/06,4640,4,6,4,0,1170400.0,97500.0,633900.0,48700.0
第0188回,1996/09/10,9167,9,1,6,7,1146800.0,47700.0,597200.0,23800.0
第0189回,1996/09/13,7981,7,9,8,1,1501200.0,62500.0,781800.0,31200.0
第0190回,1996/09/17,6332,6,3,3,2,1154400.0,96200.0,625300.0,48100.0
第0191回,1996/09/20,7301,7,3,0,1,1005800.0,41900.0,523800.0,20900.0
第0192回,1996/09/24,3371,3,3,7,1,835700.0,69600.0,452600.0,34800.0
第0193回,1996/09/27,5312,5,3,1,2,728200.0,30300.0,379200.0,15100.0
第0194回,1996/10/01,1745,1,7,4,5,876100.0,36500.0,456300.0,18200.0
第0195回,1996/10/04,8693,8,6,9,3,959000.0,39900.0,499400.0,19900.0
第0196回,1996/10/08,8316,8,3,1,6,833600.0,34700.0,434100.0,17300.0
第0197回,1996/10/11,2697,2,6,9,7,1238100.0,51500.0,644800.0,25700.0
第0198回,1996/10/15,8234,8,2,3,4,1114300.0,46400.0,580300.0,23200.0
第0199回,1996/10/18,7656,7,6,5,6,1116700.0,93000.0,604800.0,46500.0
第0200回,1996/10/22,7441,7,4,4,1,1023500.0,85200.0,554300.0,42600.0
第0201回,1996/10/25,2398,2,3,9,8,965700.0,40200.0,502900.0,20100.0
第0202回,1996/10/29,7202,7,2,0,2,956700.0,79700.0,518200.0,39800.0
第0203回,1996/11/01,2210,2,2,1,0,653000.0,54400.0,353700.0,27200.0
第0204回,1996/11/05,7832,7,8,3,2,871400.0,36300.0,453800.0,18100.0
第0205回,1996/11/08,5797,5,7,9,7,1507500.0,125600.0,816500.0,62800.0
第0206回,1996/11/12,382,0,3,8,2,1411900.0,58800.0,735300.0,29400.0
第0207回,1996/11/15,7913,7,9,1,3,831800.0,34600.0,433200.0,17300.0
第0208回,1996/11/19,9170,9,1,7,0,1072700.0,44600.0,558600.0,22300.0
第0209回,1996/11/22,6613,6,6,1,3,1097100.0,91400.0,594200.0,45700.0
第0210回,1996/11/26,7158,7,1,5,8,1185900.0,49400.0,617600.0,24700.0
第0211回,1996/11/29,5301,5,3,0,1,746500.0,31100.0,388800.0,15500.0
第0212回,1996/12/03,9475,9,4,7,5,1058000.0,44000.0,551000.0,22000.0
第0213回,1996/12/06,7251,7,2,5,1,637700.0,26500.0,332100.0,13200.0
第0214回,1996/12/10,1449,1,4,4,9,1018600.0,84800.0,551700.0,42400.0
第0215回,1996/12/13,2223,2,2,2,3,1308300.0,327000.0,817600.0,163500.0
第0216回,1996/12/17,4695,4,6,9,5,1181600.0,49200.0,615400.0,24600.0
第0217回,1996/12/20,4316,4,3,1,6,710000.0,29500.0,369700.0,14700.0
第0218回,1996/12/24,3698,3,6,9,8,725800.0,30200.0,378000.0,15100.0
第0219回,1996/12/27,6623,6,6,2,3,779700.0,64900.0,422300.0,32400.0
第0220回,1997/01/07,6684,6,6,8,4,1895200.0,157900.0,1026500.0,78900.0
第0221回,1997/01/10,2507,2,5,0,7,763100.0,31700.0,397400.0,15800.0
第0222回,1997/01/14,887,0,8,8,7,1673200.0,139400.0,906300.0,69700.0
第0223回,1997/01/17,1041,1,0,4,1,716700.0,59700.0,388200.0,29800.0
第0224回,1997/01/21,239,0,2,3,9,1220000.0,50800.0,635400.0,25400.0
第0225回,1997/01/24,4147,4,1,4,7,768900.0,64000.0,416400.0,32000.0
第0226回,1997/01/28,5886,5,8,8,6,1222700.0,101800.0,662200.0,50900.0
