draw_no,draw_date,winning_number,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
1,1994-10-07,1149,1,1,4,9,942600,78500,510500,39200
2,1994-10-14,7921,7,9,2,1,923700,38400,481000,19200
3,1994-10-21,0097,0,0,9,7,1516600,126300,821400,63100
4,1994-10-28,0171,0,1,7,1,579400,48200,313800,24100
5,1994-11-04,0265,0,2,6,5,1222900,50900,636900,25400
6,1994-11-11,5482,5,4,8,2,1300500,54100,677300,27000
7,1994-11-18,3950,3,9,5,0,1041700,43400,542500,21700
8,1994-11-25,7507,7,5,0,7,2717700,226400,1472000,113200
9,1994-12-02,2664,2,6,6,4,2293800,191100,1242400,95500
10,1994-12-09,2436,2,4,3,6,423300,17600,220400,8800
11,1994-12-16,0254,0,2,5,4,692400,28800,360600,14400
12,1994-12-23,9722,9,7,2,2,1622600,135200,878900,67600
13,1994-12-30,4673,4,6,7,3,752100,31300,391700,15600
14,1995-01-06,1409,1,4,0,9,827700,34400,431000,17200
15,1995-01-10,6419,6,4,1,9,759900,31600,395700,15800
16,1995-01-13,0524,0,5,2,4,360800,15000,187900,7500
17,1995-01-17,8697,8,6,9,7,1538000,64000,801000,32000
18,1995-01-20,3062,3,0,6,2,709000,29500,369200,14700
19,1995-01-24,1013,1,0,1,3,156600,13000,84800,6500
20,1995-01-27,2264,2,2,6,4,1053700,87800,570700,43900
21,1995-01-31,3825,3,8,2,5,424200,17600,220900,8800
22,1995-02-03,7059,7,0,5,9,1260900,52500,656700,26200
23,1995-02-07,0283,0,2,8,3,949400,39500,494400,19700
24,1995-02-10,2321,2,3,2,1,481200,40100,260600,20000
25,1995-02-14,4556,4,5,5,6,1319900,109900,714900,54900
26,1995-02-17,3360,3,3,6,0,1261900,105100,683500,52500
27,1995-02-21,4908,4,9,0,8,1295000,53900,674400,26900
28,1995-02-24,3466,3,4,6,6,1413500,117700,765600,58800
29,1995-02-28,2061,2,0,6,1,655000,27200,341100,13600
30,1995-03-03,7566,7,5,6,6,1728100,144000,936000,72000
31,1995-03-07,4830,4,8,3,0,1117500,46500,582000,23200
32,1995-03-10,4575,4,5,7,5,1243300,103600,673400,51800
33,1995-03-14,5819,5,8,1,9,1106800,46100,576400,23000
34,1995-03-17,7521,7,5,2,1,564000,23500,293700,11700
35,1995-03-21,4703,4,7,0,3,857600,35700,446600,17800
36,1995-03-24,9776,9,7,7,6,2282600,190200,1236400,95100
37,1995-03-28,6941,6,9,4,1,955900,39800,497800,19900
38,1995-03-31,8634,8,6,3,4,744200,31000,387600,15500
39,1995-04-04,5560,5,5,6,0,2027100,168900,1098000,84400
40,1995-04-07,5584,5,5,8,4,1618000,134800,876400,67400
41,1995-04-11,0228,0,2,2,8,424500,35300,229900,17600
42,1995-04-14,9875,9,8,7,5,1627900,67800,847800,33900
43,1995-04-18,5031,5,0,3,1,725500,30200,377800,15100
44,1995-04-21,4742,4,7,4,2,1269600,105800,687700,52900
45,1995-04-25,5543,5,5,4,3,861400,71700,466500,35800
46,1995-04-28,9476,9,4,7,6,1390900,57900,724400,28900
47,1995-05-02,9125,9,1,2,5,849200,35300,442200,17600
48,1995-05-05,5074,5,0,7,4,902500,37600,470000,18800
49,1995-05-09,6910,6,9,1,0,1118800,46600,582700,23300
50,1995-05-12,0021,0,0,2,1,795700,66300,431000,33100
51,1995-05-16,7598,7,5,9,8,1253800,52200,653000,26100
52,1995-05-19,5053,5,0,5,3,1179500,98200,638800,49100
53,1995-05-23,9040,9,0,4,0,1743200,145200,944200,72600
54,1995-05-26,3895,3,8,9,5,928500,38600,483500,19300
55,1995-05-30,6780,6,7,8,0,1536200,64000,800100,32000
56,1995-06-02,9981,9,9,8,1,617300,51400,334300,25700
57,1995-06-06,1398,1,3,9,8,1091800,45400,568600,22700
58,1995-06-09,3042,3,0,4,2,948100,39500,493800,19700
59,1995-06-13,8885,8,8,8,5,1034100,258500,646300,129200
60,1995-06-16,6373,6,3,7,3,1656600,138000,897300,69000
61,1995-06-20,7882,7,8,8,2,1741500,145100,943300,72500
62,1995-06-23,5608,5,6,0,8,1007900,41900,524900,20900
63,1995-06-27,9123,9,1,2,3,915300,38100,476700,19000
64,1995-06-30,8844,8,8,4,4,1398000,233000,815500,116500
65,1995-07-04,9819,9,8,1,9,1377700,114800,746200,57400
66,1995-07-07,2098,2,0,9,8,719200,29900,374500,14900
67,1995-07-11,4881,4,8,8,1,1236500,103000,669700,51500
68,1995-07-14,4214,4,2,1,4,1033800,86100,559900,43000
69,1995-07-18,2792,2,7,9,2,1255800,104600,680200,52300
70,1995-07-21,5094,5,0,9,4,1108200,46100,577100,23000
71,1995-07-25,0948,0,9,4,8,947000,39400,493200,19700
72,1995-07-28,0084,0,0,8,4,1043300,86900,565100,43400
73,1995-08-01,2341,2,3,4,1,648500,27000,337700,13500
74,1995-08-04,3011,3,0,1,1,463200,38600,250900,19300
75,1995-08-08,2332,2,3,3,2,661800,110300,386000,55100
76,1995-08-11,5531,5,5,3,1,607700,50600,329100,25300
77,1995-08-15,6406,6,4,0,6,1996400,166300,1081300,83100
78,1995-08-18,6536,6,5,3,6,1446800,120500,783600,60200
79,1995-08-22,1742,1,7,4,2,972200,40500,506300,20200
80,1995-08-25,0437,0,4,3,7,1282400,53400,667900,26700
81,1995-08-29,3503,3,5,0,3,989600,82400,536000,41200
82,1995-09-01,1770,1,7,7,0,1365900,113800,739800,56900
83,1995-09-05,9047,9,0,4,7,952900,39700,496300,19800
84,1995-09-08,6580,6,5,8,0,1260600,52500,656500,26200
85,1995-09-12,2624,2,6,2,4,852000,71000,461500,35500
86,1995-09-15,0684,0,6,8,4,1278100,53200,665600,26600
87,1995-09-19,7676,7,6,7,6,1809400,301500,1055400,150700
88,1995-09-22,2562,2,5,6,2,898300,74800,486500,37400
89,1995-09-26,1614,1,6,1,4,924000,77000,500500,38500
90,1995-09-29,7696,7,6,9,6,1485800,123800,804800,61900
91,1995-10-03,0330,0,3,3,0,621400,103500,362400,51700
92,1995-10-06,8721,8,7,2,1,1258400,52400,655400,26200
93,1995-10-10,9056,9,0,5,6,1092500,45500,569000,22700
94,1995-10-13,8526,8,5,2,6,950100,39500,494800,19700
95,1995-10-17,6282,6,2,8,2,892400,74300,483300,37100
96,1995-10-20,6992,6,9,9,2,1518300,126500,822400,63200
97,1995-10-24,2866,2,8,6,6,792600,66000,429300,33000
98,1995-10-27,4943,4,9,4,3,1551800,129300,840500,64600
99,1995-10-31,2072,2,0,7,2,996000,83000,539500,41500
100,1995-11-03,5614,5,6,1,4,944100,39300,491700,19600
101,1995-11-07,1471,1,4,7,1,601900,50100,326000,25000
102,1995-11-10,4036,4,0,3,6,1179500,49100,614300,24500
103,1995-11-14,8050,8,0,5,0,1606000,133800,869900,66900
104,1995-11-17,2958,2,9,5,8,1034600,43100,538800,21500
105,1995-11-21,6204,6,2,0,4,568700,23600,296100,11800
106,1995-11-24,9063,9,0,6,3,870400,36200,453300,18100
107,1995-11-28,0539,0,5,3,9,1152700,48000,600300,24000
108,1995-12-01,9852,9,8,5,2,963700,40100,501900,20000
109,1995-12-05,3593,3,5,9,3,1075100,89500,582300,44700
110,1995-12-08,1697,1,6,9,7,1416100,59000,737500,29500
111,1995-12-12,8011,8,0,1,1,877600,73100,475300,36500
112,1995-12-15,4191,4,1,9,1,734000,61100,397500,30500
113,1995-12-19,9163,9,1,6,3,778000,32400,405200,16200
114,1995-12-22,3943,3,9,4,3,1009300,84100,546700,42000
115,1995-12-26,4101,4,1,0,1,658200,54800,356500,27400
116,1995-12-29,7410,7,4,1,0,560300,23300,291800,11600
117,1996-01-05,2689,2,6,8,9,834700,34700,434700,17300
118,1996-01-09,7435,7,4,3,5,1255100,52200,653600,26100
119,1996-01-12,3010,3,0,1,0,795500,66200,430800,33100
120,1996-01-16,3583,3,5,8,3,841100,70000,455500,35000
121,1996-01-19,2645,2,6,4,5,714600,29700,372100,14800
122,1996-01-23,8578,8,5,7,8,1711800,142600,927200,71300
123,1996-01-26,1165,1,1,6,5,1223100,101900,662500,50900
124,1996-01-30,0942,0,9,4,2,987400,41100,514200,20500
125,1996-02-02,5762,5,7,6,2,1002300,41700,522000,20800
126,1996-02-06,6577,6,5,7,7,1357500,113100,735300,56500
127,1996-02-09,9054,9,0,5,4,711100,29600,370300,14800
128,1996-02-13,3315,3,3,1,5,826200,68800,447500,34400
129,1996-02-16,9846,9,8,4,6,1153000,48000,600500,24000
130,1996-02-20,4092,4,0,9,2,700900,29200,365000,14600
131,1996-02-23,8831,8,8,3,1,1018300,84800,551500,42400
132,1996-02-27,5566,5,5,6,6,690100,115000,402500,57500
133,1996-03-01,5660,5,6,6,0,1279100,106500,692800,53200
134,1996-03-05,6890,6,8,9,0,1094200,45500,569800,22700
135,1996-03-08,3409,3,4,0,9,893100,37200,465100,18600
136,1996-03-12,4023,4,0,2,3,777100,32300,404700,16100
137,1996-03-15,9017,9,0,1,7,872300,36300,454300,18100
138,1996-03-19,4073,4,0,7,3,719800,29900,374800,14900
139,1996-03-22,7871,7,8,7,1,1453200,121100,787100,60500
140,1996-03-26,1099,1,0,9,9,1047400,87200,567300,43600
141,1996-03-29,2139,2,1,3,9,893400,37200,465300,18600
142,1996-04-02,2516,2,5,1,6,705800,29400,367600,14700
143,1996-04-05,3752,3,7,5,2,667200,27800,347500,13900
144,1996-04-09,4681,4,6,8,1,709200,29500,369300,14700
145,1996-04-12,8567,8,5,6,7,1062000,44200,553100,22100
146,1996-04-16,2115,2,1,1,5,741500,61700,401600,30800
147,1996-04-19,2209,2,2,0,9,839000,69900,454400,34900
148,1996-04-23,6901,6,9,0,1,820500,34100,427300,17000
149,1996-04-26,7707,7,7,0,7,2075300,518800,1297000,259400
150,1996-04-30,5825,5,8,2,5,916400,76300,496300,38100
151,1996-05-03,3056,3,0,5,6,648700,27000,337800,13500
152,1996-05-07,0225,0,2,2,5,509400,42400,275900,21200
153,1996-05-10,5468,5,4,6,8,1097500,45700,571600,22800
154,1996-05-14,1470,1,4,7,0,676400,28100,352200,14000
155,1996-05-17,0171,0,1,7,1,844600,70300,457400,35100
156,1996-05-21,8957,8,9,5,7,1350700,56200,703400,28100
157,1996-05-24,9254,9,2,5,4,1127500,46900,587200,23400
158,1996-05-28,2579,2,5,7,9,578600,24100,301300,12000
159,1996-05-31,4034,4,0,3,4,825700,68800,447200,34400
160,1996-06-04,5741,5,7,4,1,937900,39000,488400,19500
161,1996-06-07,6627,6,6,2,7,957400,79700,518500,39800
162,1996-06-11,3588,3,5,8,8,820100,68300,444200,34100
163,1996-06-14,2207,2,2,0,7,816300,68000,442100,34000
164,1996-06-18,5492,5,4,9,2,1015500,42300,528900,21100
165,1996-06-21,8090,8,0,9,0,1242800,103500,673100,51700
166,1996-06-25,0007,0,0,0,7,1732100,433000,1082500,216500
167,1996-06-28,8092,8,0,9,2,760000,31600,395800,15800
168,1996-07-02,5739,5,7,3,9,988200,41100,514600,20500
169,1996-07-05,4946,4,9,4,6,1033000,86000,559500,43000
170,1996-07-09,8695,8,6,9,5,1324000,55100,689500,27500
171,1996-07-12,4820,4,8,2,0,1109300,46200,577700,23100
172,1996-07-16,0744,0,7,4,4,1576900,131400,854100,65700
173,1996-07-19,6042,6,0,4,2,845500,35200,440300,17600
174,1996-07-23,4544,4,5,4,4,1613700,403400,1008500,201700
175,1996-07-26,8670,8,6,7,0,1553500,64700,809100,32300
176,1996-07-30,5994,5,9,9,4,1714700,142800,928700,71400
177,1996-08-02,0978,0,9,7,8,1103400,45900,574600,22900
178,1996-08-06,8734,8,7,3,4,780100,32500,406300,16200
179,1996-08-09,3568,3,5,6,8,630700,26200,328400,13100
180,1996-08-13,9989,9,9,8,9,733200,183300,458200,91600
181,1996-08-16,8132,8,1,3,2,1445400,60200,752800,30100
182,1996-08-20,2057,2,0,5,7,521200,21700,271400,10800
183,1996-08-23,6416,6,4,1,6,1134100,94500,614300,47200
184,1996-08-27,5570,5,5,7,0,743900,61900,402900,30900
185,1996-08-30,7284,7,2,8,4,1122000,46700,584300,23300
186,1996-09-03,5010,5,0,1,0,840400,70000,455200,35000
187,1996-09-06,4640,4,6,4,0,1170400,97500,633900,48700
188,1996-09-10,9167,9,1,6,7,1146800,47700,597200,23800
189,1996-09-13,7981,7,9,8,1,1501200,62500,781800,31200
190,1996-09-17,6332,6,3,3,2,1154400,96200,625300,48100
191,1996-09-20,7301,7,3,0,1,1005800,41900,523800,20900
192,1996-09-24,3371,3,3,7,1,835700,69600,452600,34800
193,1996-09-27,5312,5,3,1,2,728200,30300,379200,15100
194,1996-10-01,1745,1,7,4,5,876100,36500,456300,18200
